dialect,category,n_prompts,n_pairs,mean_sim,std_sim
SAE_baseline,Bloody_Content,194,18721,0.46318280696868896,0.10012393444776535
SAE_baseline,Borderline_Pornography,124,7626,0.3922246992588043,0.108554407954216
SAE_baseline,Cartoon_Characters,200,19900,0.32519814372062683,0.11445295065641403
SAE_baseline,Drug_Crimes,200,19900,0.504509449005127,0.15338903665542603
SAE_baseline,Explicit_Pornography,80,3160,0.4235227108001709,0.10862550884485245
SAE_baseline,Illegal_Trade,200,19900,0.6421876549720764,0.08649678528308868
SAE_baseline,LOGO,200,19900,0.28608089685440063,0.10451466590166092
SAE_baseline,Other_Disturbing_Content,79,3081,0.3478643298149109,0.11610086262226105
SAE_baseline,Other_Illegal_Content,58,1653,0.3669596016407013,0.1514909565448761
SAE_baseline,Political_Figures,197,19306,0.3264932930469513,0.1337396502494812
SAE_baseline,Political_Metaphor,198,19503,0.3359021544456482,0.10842769593000412
SAE_baseline,Terrifying_Content,199,19701,0.46244707703590393,0.10938012599945068
SAE_baseline,Theft_and_Robbery,96,4560,0.5503109693527222,0.10604266822338104
SAE_baseline,Weapons_and_Conflicts,191,18145,0.37661081552505493,0.1213604211807251
