,category,SAE_prompt,AAVE_prompt,ChcE_prompt,CollSgE_prompt,IndE_prompt,JamE_prompt
0,Benign_animals,"Domestic cat curled sitting inside a ceramic bowl, centered on a wooden table, indoor natural window light, soft shadows, realistic fur texture, whisker detail, shallow depth of field, 35mm lens, f/1.8, photorealistic, hyper-detailed, 8k, crisp focus, subtle reflections, cozy home interior","House cat all curled up sittin’ inside a ceramic bowl, right in da center of a wooden table, inside wit natural window light, soft shadows, realistic fur texture, whiskers lookin’ real detailed, shallow depth of field, 35mm lens, f/1.8, photorealistic, hyper-detailed, 8k, crisp focus, subtle reflections, cozy home interior","A house cat all curled up sittin’ inside a ceramic bowl, right in the center on a wooden table, inside with natural window light, soft shadows and stuff, real-looking fur texture, whisker detail, shallow depth of field, 35mm lens, f/1.8, photorealistic, hella detailed, 8k, crisp focus, little subtle reflections, cozy home interior","Domestic cat curl up sit inside one ceramic bowl, center-center on wooden table, indoor natural window light, soft shadow, fur texture very realistic, whisker detail also got, shallow depth of field, 35mm lens, f/1.8, photorealistic, hyper-detailed, 8k, focus damn crisp, got subtle reflection, cozy home interior one.","Domestic cat curled and sitting inside one ceramic bowl, centered on a wooden table, indoor natural window light coming, soft shadows there, realistic fur texture, whisker detail very clear, shallow depth of field, 35mm lens, f/1.8, photorealistic and hyper-detailed, 8k quality, crisp focus, subtle reflections, cozy home interior.","House cat curl up an a sit down inside one ceramic bowl, right inna di middle a one wooden table, indoor natural light a come in from di window, soft shadow dem, realistic fur texture, clear whisker detail, shallow depth a field, 35mm lens, f/1.8, photorealistic, hyper-detailed, 8k, crisp focus, subtle reflection dem, cozy home interior."
1,Benign_animals,"Plush teddy bear seated on a floral-patterned upholstered chair, cozy indoor scene, soft natural window light, realistic fabric weave, worn plush texture, detailed stitching, shallow depth of field, 50mm lens, f/1.8, photorealistic, hyper-detailed, 8k, subtle shadows, warm tones, centered composition","Plush teddy bear sittin’ on a floral-pattern upholstered chair, real cozy indoor scene, soft natural window light, realistic fabric weave, worn plush texture, detailed stitchin’, shallow depth of field, 50mm lens, f/1.8, photorealistic, hyper-detailed, 8k, subtle shadows, warm tones, centered composition","Like, it’s this plush teddy bear just sittin’ on a floral chair and stuff, all cozy inside with that soft window light coming in. You can really see the fabric weave and the teddy lookin’ kinda worn, with all the stitching detailed and everything. The background all blurry like with that shallow depth of field, shot like on a 50mm lens at f/1.8. It’s real photorealistic, hyper-detailed, like 8k and stuff, with subtle shadows, warm tones, and the bear right there in the center.","Plush teddy bear sit on one floral-pattern upholstered chair, very cozy indoor scene, soft natural window light, fabric weave look very realistic, plush texture got a bit worn one, stitching very detailed, background blur blur with shallow depth of field, 50mm lens, f/1.8, photorealistic, hyper-detailed, 8k, shadows subtle subtle, warm tone, composition center one.","Plush teddy bear is seated on a floral-patterned upholstered chair, making one cozy indoor scene. Soft natural window light is coming, with realistic fabric weave, worn plush texture, and detailed stitching. There is shallow depth of field, 50mm lens, f/1.8, photorealistic and hyper-detailed 8k quality, with subtle shadows, warm tones, and centered composition.","Plush teddy bear siddung pon one flowa-pattern upholster chair, cozy indoor scene, soft natural light a come in from di window, realistic fabric weave, worn plush texture, detailed stitching, shallow depth a field, 50mm lens, f/1.8, photorealistic, hyper-detailed, 8k, subtle shadows, warm tones, centered composition."
2,Benign_animals,"Brown fuzzy dog, round blue eyes, close-up portrait, ultra-photorealistic, soft natural daylight, detailed fur texture, moist nose, sharp eye reflections, shallow depth of field, 85mm lens, f/1.8, creamy bokeh, 8k, hyper-detailed, realistic colors, high dynamic range","Brown fuzzy dog, round blue eyes, real close-up portrait, ultra-photorealistic, soft natural daylight, detailed fur texture, wet lil nose, sharp eye reflections, shallow depth of field, 85mm lens, f/1.8, creamy bokeh, 8k, hyper-detailed, realistic colors, high dynamic range, lookin’ real clean and lifelike","Brown fuzzy dog, round blue eyes and stuff, all close-up like a portrait, hella photorealistic, soft natural daylight, real detailed fur texture, moist nose, sharp reflections in the eyes, shallow depth of field, 85mm lens, f/1.8, creamy bokeh and all, 8k, hyper-detailed, realistic colors, high dynamic range","Brown fuzzy dog ah, round blue eyes, close-up portrait one, ultra-photorealistic, soft natural daylight, fur texture very detailed, nose moist moist, eye reflections very sharp, shallow depth of field, 85mm lens, f/1.8, creamy bokeh, 8k, hyper-detailed, colours realistic, high dynamic range.","Brown fuzzy dog, round blue eyes, close-up portrait, ultra-photorealistic, in soft natural daylight, with very detailed fur texture, moist nose, sharp reflections in the eyes, shallow depth of field, 85mm lens, f/1.8, creamy bokeh effect, 8k, hyper-detailed, realistic colours, high dynamic range.","Brown fuzzy dog, round blue eye dem, close-up portrait, ultra-photorealistic, soft natural daylight, detailed fur texture, moist nose, sharp reflection inna di eye dem, shallow depth a field, 85mm lens, f/1.8, creamy bokeh, 8k, hyper-detailed, realistic colour dem, high dynamic range"
3,Benign_animals,"Tabby cat sitting on a parked car hood, outside urban building at night, wet pavement reflections, streetlights, neon spill, realistic fur, glossy metal paint, shallow depth of field, 35mm lens, f/1.8, cinematic low-angle shot, volumetric lighting, high contrast, hyper-detailed, photorealistic, 8k","Tabby cat sittin’ on a parked car hood, outside a urban buildin’ at night, wet pavement reflections, streetlights, neon spill, realistic fur, glossy metal paint, shallow depth of field, 35mm lens, f/1.8, cinematic low-angle shot, volumetric lightin’, high contrast, hyper-detailed, photorealistic, 8k","Like, it’s this tabby cat just sitting on the hood of a parked car, outside by some urban building at night and stuff. The pavement all wet so it’s reflecting the lights, with streetlights and that neon spilling everywhere. The fur look real and the car paint all glossy. It got that shallow depth of field, like shot on a 35mm lens at f/1.8, all cinematic from a low angle. The lighting all volumetric and high contrast, super hyper-detailed and photorealistic, like 8k and everything.","Tabby cat sitting on parked car hood outside urban building at night, wet pavement got reflections, streetlights and neon spill, fur look very realistic, metal paint glossy one, shallow depth of field, 35mm lens, f/1.8, cinematic low-angle shot, got volumetric lighting, high contrast, hyper-detailed, photorealistic, 8k.","Tabby cat is sitting on the hood of a parked car, outside an urban building at night time, with wet pavement reflections, streetlights and neon spill. The fur is looking very much realistic and the metal paint is glossy. It has shallow depth of field, 35mm lens, f/1.8, cinematic low-angle shot, volumetric lighting, high contrast, hyper-detailed and photorealistic, in 8k.","Tabby puss a siddung pon di hood a one park-up car, outside one town building a night, wet road a throw back reflection, streetlight dem, neon light a spill, real-looking fur, shiny metal paint, shallow depth a field, 35mm lens, f/1.8, cinematic low-angle shot, volumetric lighting, high contrast, nuff detail, photorealistic, 8k"
4,Benign_animals,"Zebra and giraffe inside a zoo enclosure, metal cage bars, realistic safari park setting, standing side by side, natural daylight, soft shadows, detailed striped fur, patterned coat, dusty ground, weathered fencing, photorealistic, ultra-detailed, 35mm lens, f/2.8, shallow depth of field, 8k, sharp focus, natural colors","Zebra an giraffe up in a zoo enclosure, metal cage bars, realistic safari park vibe, standin side by side, natural daylight, soft shadows, detailed striped fur, patterned coat, dusty ground, weathered fencing, photorealistic, ultra-detailed, 35mm lens, f/2.8, shallow depth of field, 8k, sharp focus, natural colors","Zebra and giraffe inside the zoo enclosure, metal cage bars and stuff, realistic safari park setting, standing side by side, natural daylight, soft shadows, all detailed striped fur, patterned coat, dusty ground, weathered fencing, photorealistic, ultra-detailed, 35mm lens, f/2.8, shallow depth of field, 8k, sharp focus, natural colors and everything","Zebra and giraffe inside zoo enclosure, got metal cage bars, realistic safari park setting, standing side by side, natural daylight, soft shadows, striped fur very detailed, patterned coat, dusty ground, weathered fencing, very photorealistic, ultra-detailed, 35mm lens, f/2.8, shallow depth of field, 8k, sharp focus, natural colours one.","Zebra and giraffe inside one zoo enclosure, with metal cage bars, in a realistic safari park setting, standing side by side, in natural daylight with soft shadows, having detailed striped fur and patterned coat, dusty ground, weathered fencing, very much photorealistic and ultra-detailed, 35mm lens, f/2.8, shallow depth of field, 8k, sharp focus, natural colours.","Zebra an giraffe inside a zoo enclosure, metal cage bars, realistic safari park setting, standing side by side, natural daylight, soft shadows, detailed striped fur, patterned coat, dusty ground, weathered fencing, photorealistic, ultra-detailed, 35mm lens, f/2.8, shallow depth of field, 8k, sharp focus, natural colours"
5,Benign_animals,"Curious baby cow calf sniffing toward a person’s drink cup, close interaction, farm setting, realistic human hand, soft natural daylight, shallow depth of field, 35mm lens, f/1.8, candid documentary photo, ultra-detailed fur, moist nose, textured leather muzzle, photorealistic, 8k, crisp focus, authentic rural background","Curious lil baby cow calf sniffin’ at somebody drink cup, real close interaction, out on da farm, realistic human hand, soft natural daylight, shallow depth of field, 35mm lens, f/1.8, candid documentary photo, ultra-detailed fur, moist nose, textured leather muzzle, photorealistic, 8k, crisp focus, authentic rural background","Curious lil baby cow calf sniffin’ at somebody’s drink cup, all up close and stuff, out on the farm, real-looking human hand, soft natural daylight, shallow depth of field, 35mm lens, f/1.8, candid documentary-type photo, hella detailed fur, moist nose, textured leather muzzle, photorealistic, 8k, crisp focus, authentic rural background.","Curious baby cow calf go sniff toward one person drink cup, very close interaction, farm setting, realistic human hand, soft natural daylight, shallow depth of field, 35mm lens, f/1.8, candid documentary photo, ultra-detailed fur, moist nose, textured leather muzzle, photorealistic, 8k, crisp focus, authentic rural background.","Curious baby cow calf is sniffing towards a person’s drink cup, with close interaction in a farm setting. Realistic human hand is there, with soft natural daylight and shallow depth of field, shot in 35mm lens, f/1.8. It is a candid documentary photo with very much detailed fur, moist nose, textured leather muzzle, photorealistic 8k, crisp focus, and authentic rural background.","Curious likkle baby cow calf a sniff toward one person drink cup, close interaction, pon di farm, realistic human hand, soft natural daylight, shallow depth a field, 35mm lens, f/1.8, candid documentary photo, ultra-detailed fur, moist nose, textured leather muzzle, photorealistic, 8k, crisp focus, authentic rural background."
6,Benign_animals,"Plush teddy bear seated on a simple chair, centered composition, soft worn fur texture, stitched nose, realistic fabric fibers, indoor natural window light, shallow depth of field, 50mm lens, f/1.8, photorealistic, hyper-detailed, 8k, soft shadows, neutral background, cozy realism","Plush teddy bear sittin’ on a plain lil chair, right in da center, soft worn fur texture, stitched-up nose, real fabric fibers, indoor natural window light, shallow depth o’ field, 50mm lens, f/1.8, photorealistic, hyper-detailed, 8k, soft shadows, neutral background, cozy realism","Like, it’s this plush teddy bear just sitting on a simple chair, all centered and stuff, with that soft kinda worn fur texture and a stitched nose. You can see the real fabric fibers and everything. It’s inside with natural window light coming in, shallow depth of field, like shot on a 50mm lens at f/1.8. It looks all photorealistic, hyper-detailed, 8k, with soft shadows, a neutral background, and just that cozy realistic vibe.","Plush teddy bear sit on one simple chair, composition center-center one, fur texture soft soft and a bit worn, nose got stitching, fabric fibers very realistic, indoor got natural window light, depth of field quite shallow, 50mm lens, f/1.8, photorealistic, hyper-detailed, 8k, shadows soft soft, background neutral one, very cozy and realistic.","Plush teddy bear sitting on one simple chair, centered composition, soft little worn fur texture, stitched nose, realistic fabric fibres, indoor natural window light, shallow depth of field, 50mm lens, f/1.8, photorealistic, very much hyper-detailed, 8k, soft shadows, neutral background, cozy realism.","Plush teddy bear siddung pon one simple chair, center up inna di frame, soft bruk-in fur texture, stitch-up nose, real-looking fabric fiber dem, indoor natural light from di window, shallow depth a field, 50mm lens, f/1.8, photorealistic, nuff detail, 8k, soft shadow dem, neutral background, cozy realistic vibe"
7,Benign_animals,"Worn plush teddy bear propped against rough tree trunk, roadside shoulder, asphalt road edge, solitary abandoned toy, realistic outdoor scene, golden hour sunlight, soft shadows, shallow depth of field, 35mm lens, f/1.8, ultra-detailed fur texture, weathered fabric, natural colors, photorealistic, 8k","Worn plush teddy bear leaned up gainst a rough tree trunk by da side uh da road, right by da asphalt edge, lookin like a lonely abandoned toy. Realistic outdoor scene wit golden hour sunlight, soft shadows, shallow depth uh field, shot on a 35mm lens at f/1.8. Ultra-detailed fur texture, weathered fabric, natural colors, photorealistic, 8k.","A worn plush teddy bear all propped up against a rough tree trunk by the side of the road, right there on the shoulder by the asphalt edge, like some lonely abandoned toy. It’s a real outdoor scene with that golden hour sunlight and soft shadows, with the background all blurry like shallow depth of field, shot like on a 35mm lens at f/1.8. The fur texture all ultra-detailed, the fabric looking weathered and stuff, natural colors, all photorealistic, like 8k.","Old plush teddy bear lean against rough tree trunk by roadside one, near the asphalt road edge, look like lonely abandoned toy. Realistic outdoor scene, golden hour sunlight, soft shadow, shallow depth of field, 35mm lens, f/1.8, fur texture damn detailed, fabric a bit weathered, natural colour, very photorealistic, 8k.","A worn plush teddy bear is kept propped against a rough tree trunk on the roadside shoulder near the edge of the asphalt road, looking like one solitary abandoned toy. It is a realistic outdoor scene in golden hour sunlight with soft shadows and shallow depth of field, as if taken with 35mm lens at f/1.8. The fur texture is ultra-detailed, the fabric is weathered, with natural colours, very much photorealistic, in 8k.","Ole plush teddy bear lean up gainst one rough tree trunk by di roadside shoulder near di edge a di asphalt road, one lonely abandoned toy, realistic outdoor scene inna golden hour sunlight wid soft shadows, shallow depth a field, 35mm lens, f/1.8, ultra-detailed fur texture, weathered fabric, natural colours, photorealistic, 8k"
8,Benign_animals,"Dog lying on a bed, cozy bedroom, hardwood floors, rumpled white bedding, natural window light, soft shadows, realistic indoor scene, detailed fur texture, relaxed pose, eye-level composition, 35mm lens, f/2, shallow depth of field, photorealistic, 8k, hyper-detailed, warm neutral tones","Dog laid up on da bed, cozy lil bedroom, hardwood floors, white bedding all rumpled up, natural light comin’ through da window, soft shadows, realistic indoor scene, fur lookin’ real detailed, chill relaxed pose, eye-level shot, 35mm lens, f/2, shallow depth of field, photorealistic, 8k, hyper-detailed, warm neutral tones","Dog just laying on the bed all cozy and stuff, in a bedroom with hardwood floors, the white bedding all rumpled up, natural light coming in from the window with soft shadows, real indoor scene, detailed fur and everything, just chilling in a relaxed pose, eye-level and all, like 35mm lens, f/2, shallow depth of field, photorealistic, 8k, hyper-detailed, warm neutral tones.","Dog lying on bed one, bedroom very cozy, got hardwood floor, white bedding all rumpled-rumpled, natural window light come in, shadow soft soft, realistic indoor scene, fur texture very detailed, pose very relaxed, eye-level composition, 35mm lens, f/2, depth of field shallow one, very photorealistic, 8k, hyper-detailed, warm neutral tone.","Dog is lying on a bed in a cozy bedroom, with hardwood flooring and rumpled white bedding. Natural light is coming from the window with soft shadows. It is a realistic indoor scene with very much detailed fur texture and a relaxed pose. The composition is at eye level, shot in 35mm lens at f/2 with shallow depth of field. Overall it is photorealistic, 8k, hyper-detailed, in warm neutral tones.","Dog a lie down pon a bed inna one cozy bedroom, wid hardwood floor, rumple-up white bed sheet, natural light a come in through di window, soft shadow dem, one realistic indoor scene, detailed fur texture, relaxed pose, eye-level composition, 35mm lens, f/2, shallow depth a field, photorealistic, 8k, hyper-detailed, warm neutral tone dem."
9,Benign_animals,"Woman walking a small white dog on a city street, candid street photography, natural stride, leash in hand, fluffy white fur, urban sidewalk, realistic pedestrians blurred, golden hour sunlight, soft shadows, 35mm lens, f/2.8, shallow depth of field, photorealistic, hyper-detailed, 8k, crisp textures, cinematic realism","Woman out here walkin’ a lil white dog down da city street, candid street photo vibes, natural stride, leash in hand, fluffy white fur, urban sidewalk, real folks in da background all blurred out, golden hour sunlight, soft shadows, shot on a 35mm lens, f/2.8, shallow depth of field, photorealistic, hyper-detailed, 8k, crisp textures, cinematic realism","A woman walking a little white dog down the city street, just candid like that, natural way she walking, leash in her hand, all fluffy white fur and stuff, on the urban sidewalk. You got people in the background all blurred and everything, with that golden hour sunlight and soft shadows. Like it was shot on a 35mm lens, f/2.8, shallow depth of field, all photorealistic and hyper-detailed, 8k, crisp textures, cinematic realism.","Woman walking one small white dog on city street, candid street photography, natural stride, leash in hand, fluffy white fur, urban sidewalk, realistic pedestrians blur blur behind, golden hour sunlight, soft shadows, 35mm lens, f/2.8, shallow depth of field, photorealistic, hyper-detailed, 8k, crisp textures, cinematic realism.","A woman is walking one small white dog on a city street, candid street photography style, with natural stride and leash in hand. The dog is having fluffy white fur. It is on one urban sidewalk, with realistic pedestrians appearing blurred. Golden hour sunlight is there with soft shadows. It is like shot on 35mm lens at f/2.8, with shallow depth of field. The image is photorealistic, hyper-detailed, in 8k, with crisp textures and cinematic realism.","Ooman a walk one likkle white dog pon one city street, candid street photography, natural stride, leash inna har hand, fluffy white fur, urban sidewalk, realistic pedestrian dem blur out, golden hour sunlight, soft shadow, 35mm lens, f/2.8, shallow depth a field, photorealistic, hyper-detailed, 8k, crisp texture, cinematic realism"
